CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_covergae,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
BlockFieldMatrix,34,230,264,0.871212121,97,634,731,0.867305062,22,162,184
OpenMapRealVector,7,117,124,0.943548387,23,269,292,0.921232877,11,99,110
QRDecomposition.Solver,0,44,44,1,0,84,84,1,0,27,27
OpenMapRealMatrix,4,20,24,0.833333333,18,82,100,0.82,4,24,28
Array2DRowFieldMatrix,9,83,92,0.902173913,23,176,199,0.884422111,13,67,80
HessenbergTransformer,3,51,54,0.944444444,1,76,77,0.987012987,4,29,33
RealVector.2.new Iterator() {...},0,0,0,100,1,5,6,0.833333333,1,3,4
RealVector.2.new Iterator() {...},0,0,0,100,1,5,6,0.833333333,1,3,4
RealVectorFormat,0,22,22,1,7,58,65,0.892307692,5,21,26
NonPositiveDefiniteMatrixException,0,0,0,100,3,7,10,0.7,3,1,4
JacobiPreconditioner,1,7,8,0.875,1,23,24,0.958333333,1,9,10
NonSquareMatrixException,0,0,0,100,0,2,2,1,0,1,1
JacobiPreconditioner.new RealLinearOperator() {...},0,0,0,100,2,3,5,0.6,2,2,4
DefaultRealMatrixPreservingVisitor,0,0,0,100,1,3,4,0.75,1,3,4
NonPositiveDefiniteOperatorException,0,0,0,100,0,2,2,1,0,1,1
AbstractFieldMatrix,39,203,242,0.838842975,54,375,429,0.874125874,34,149,183
PreconditionedIterativeLinearSolver,0,6,6,1,4,21,25,0.84,2,9,11
SchurTransformer,7,83,90,0.922222222,2,189,191,0.989528796,7,48,55
AbstractRealMatrix,22,176,198,0.888888889,35,338,373,0.90616622,19,134,153
MatrixDimensionMismatchException,0,0,0,100,0,8,8,1,0,5,5
RealVector.2.UnmodifiableEntry,0,0,0,100,0,3,3,1,0,3,3
RealMatrixFormat,3,41,44,0.931818182,11,95,106,0.896226415,10,30,40
OpenMapRealVector.OpenMapSparseIterator,0,0,0,100,1,7,8,0.875,1,3,4
NonSelfAdjointOperatorException,0,0,0,100,0,2,2,1,0,1,1
RealVector,0,82,82,1,2,210,212,0.990566038,2,90,92
SingularOperatorException,0,0,0,100,2,0,2,0,1,0,1
IterativeLinearSolverEvent,0,0,0,100,2,2,4,0.5,2,1,3
MatrixUtils,42,116,158,0.734177215,52,229,281,0.814946619,36,80,116
QRDecomposition,0,42,42,1,0,77,77,1,0,30,30
RealVector.new Iterator() {...},0,4,4,1,0,9,9,1,0,6,6
ArrayFieldVector,18,96,114,0.842105263,73,289,362,0.798342541,20,110,130
RealVector.new RealVector() {...},0,0,0,100,2,43,45,0.955555556,2,41,43
FieldLUDecomposition,2,52,54,0.962962963,0,82,82,1,2,32,34
ConjugateGradient,3,15,18,0.833333333,7,61,68,0.897058824,5,8,13
TriDiagonalTransformer,0,46,46,1,1,88,89,0.988764045,1,30,31
RealVector.SparseEntryIterator,2,12,14,0.857142857,3,19,22,0.863636364,3,9,12
MatrixUtils.FractionMatrixConverter,0,0,0,100,0,7,7,1,0,4,4
IterativeLinearSolver,0,6,6,1,10,17,27,0.62962963,3,6,9
ArrayRealVector,4,140,144,0.972222222,12,357,369,0.967479675,6,133,139
DefaultMeasurementModel,0,0,0,100,2,6,8,0.75,1,3,4
KalmanFilter,8,22,30,0.733333333,18,70,88,0.795454545,11,16,27
DefaultProcessModel,0,0,0,100,4,12,16,0.75,2,6,8
StorelessCovariance,7,15,22,0.681818182,9,27,36,0.75,7,16,23
PearsonsCorrelation,3,27,30,0.9,2,75,77,0.974025974,3,25,28
SpearmansCorrelation,5,27,32,0.84375,3,59,62,0.951612903,6,22,28
Covariance,4,12,16,0.75,5,48,53,0.905660377,5,17,22
KendallsCorrelation.new Comparator() {...},0,2,2,1,0,3,3,1,0,3,3
KendallsCorrelation,1,31,32,0.96875,3,85,88,0.965909091,2,22,24
StorelessBivariateCovariance,2,2,4,0.5,4,26,30,0.866666667,3,5,8
SimplexOptimizer,1,17,18,0.944444444,3,33,36,0.916666667,2,14,16
BaseAbstractMultivariateSimpleBoundsOptimizer,0,0,0,100,1,4,5,0.8,1,3,4
CMAESOptimizer,39,177,216,0.819444444,44,377,421,0.895486936,36,117,153
CMAESOptimizer.Sigma,0,4,4,1,0,7,7,1,0,4,4
NelderMeadSimplex,1,31,32,0.96875,3,82,85,0.964705882,2,23,25
PowellOptimizer.LineSearch,0,0,0,100,0,10,10,1,0,2,2
CMAESOptimizer.FitnessFunction,8,12,20,0.6,10,26,36,0.722222222,6,10,16
CMAESOptimizer.PopulationSize,1,1,2,0.5,1,5,6,0.833333333,1,2,3
PowellOptimizer,3,29,32,0.90625,3,85,88,0.965909091,3,20,23
SimplexOptimizer.new Comparator() {...},0,2,2,1,0,4,4,1,0,3,3
